Event_Name,cso15,cso18,CSOspills,Riverflow,Date,Hour
1,0,0,0,,01/01/2003,7:00
1,0,0,0,,01/01/2003,8:00
1,0,0,0,,01/01/2003,9:00
1,0,0,0,,01/01/2003,10:00
1,0,0,0,,01/01/2003,11:00
1,0,0,0,,01/01/2003,12:00
1,0,0,0,,01/01/2003,13:00
1,0,0,0,,01/01/2003,14:00
1,0,0,0,,01/01/2003,15:00
1,0,0,0,,01/01/2003,16:00
1,0,0,0,,01/01/2003,17:00
1,0,0,0,,01/01/2003,18:00
1,0,0,0,,01/01/2003,19:00
1,0,0,0,,01/01/2003,20:00
1,0,0,0,,01/01/2003,21:00
1,0,0,0,,01/01/2003,22:00
1,0,1.3845,1.3845,1.928959,01/01/2003,23:00
1,0,0,0,,02/01/2003,0:00
1,0,0,0,,02/01/2003,1:00
1,0,0,0,,02/01/2003,2:00
1,0,0,0,,02/01/2003,3:00
1,0,0,0,,02/01/2003,4:00
1,0,0,0,,02/01/2003,5:00
1,0,0,0,,02/01/2003,6:00
1,0,0,0,,02/01/2003,7:00
1,0,0,0,,02/01/2003,8:00
1,0,0,0,,02/01/2003,9:00
1,0,0,0,,02/01/2003,10:00
1,0,0,0,,02/01/2003,11:00
1,0,0,0,,02/01/2003,12:00
1,0,0,0,,02/01/2003,13:00
1,0,0,0,,02/01/2003,14:00
1,0,0,0,,02/01/2003,15:00
1,0,0,0,,02/01/2003,16:00
1,0,0,0,,02/01/2003,17:00
1,0,0,0,,02/01/2003,18:00
1,0,0,0,,02/01/2003,19:00
1,0,0,0,,02/01/2003,20:00
1,0,0,0,,02/01/2003,21:00
1,0,0,0,,02/01/2003,22:00
1,0,0,0,,02/01/2003,23:00
1,0,0,0,,03/01/2003,0:00
1,0,0,0,,03/01/2003,1:00
1,0,0,0,,03/01/2003,2:00
1,0,0,0,,03/01/2003,3:00
1,0,0,0,,03/01/2003,4:00
1,0,0,0,,03/01/2003,5:00
1,0,0,0,,03/01/2003,6:00
1,0,0,0,,03/01/2003,7:00
1,0,0,0,,03/01/2003,8:00
1,0,0,0,,03/01/2003,9:00
1,0,0,0,,03/01/2003,10:00
1,0,0,0,,03/01/2003,11:00
1,0,0,0,,03/01/2003,12:00
2,0,0,0,,03/01/2003,12:15
2,0,0,0,,03/01/2003,13:15
2,0,0,0,,03/01/2003,14:15
2,0,0,0,,03/01/2003,15:15
2,0,0,0,,03/01/2003,16:15
2,0,0,0,,03/01/2003,17:15
2,0,0,0,,03/01/2003,18:15
2,0,0,0,,03/01/2003,19:15
2,0,0,0,,03/01/2003,20:15
2,0,0,0,,03/01/2003,21:15
2,0,0,0,,03/01/2003,22:15
2,0,0,0,,03/01/2003,23:15
2,0,0,0,,04/01/2003,0:15
2,0,0,0,,04/01/2003,1:15
2,0,0,0,,04/01/2003,2:15
3,0,0,0,,05/01/2003,13:00
3,0,0,0,,05/01/2003,14:00
3,0,0,0,,05/01/2003,15:00
3,0,0,0,,05/01/2003,16:00
3,0,0,0,,05/01/2003,17:00
3,0,0,0,,05/01/2003,18:00
3,0,0,0,,05/01/2003,19:00
3,0,0,0,,05/01/2003,20:00
3,0,0,0,,05/01/2003,21:00
3,0,0,0,,05/01/2003,22:00
3,0,0,0,,05/01/2003,23:00
3,0,0,0,,06/01/2003,0:00
3,0,0,0,,06/01/2003,1:00
3,0,0,0,,06/01/2003,2:00
4,0,0,0,,06/01/2003,12:30
4,0,0,0,,06/01/2003,13:30
4,0,0,0,,06/01/2003,14:30
4,0,0,0,,06/01/2003,15:30
4,0,0,0,,06/01/2003,16:30
4,0,0,0,,06/01/2003,17:30
4,0,0,0,,06/01/2003,18:30
4,0,0,0,,06/01/2003,19:30
4,0,0,0,,06/01/2003,20:30
4,0,0,0,,06/01/2003,21:30
4,0,0,0,,06/01/2003,22:30
4,0,0,0,,06/01/2003,23:30
4,0,0,0,,07/01/2003,0:30
5,0,0,0,,08/01/2003,5:15
5,0,0,0,,08/01/2003,6:15
5,0,0,0,,08/01/2003,7:15
5,0,0,0,,08/01/2003,8:15
5,0,0.3,0.3,1.34956,08/01/2003,9:15
5,0,0,0,,08/01/2003,10:15
5,0,0,0,,08/01/2003,11:15
5,0,0,0,,08/01/2003,12:15
5,0,0,0,,08/01/2003,13:15
5,0,0,0,,08/01/2003,14:15
5,0,0,0,,08/01/2003,15:15
5,0,0,0,,08/01/2003,16:15
5,0,0,0,,08/01/2003,17:15
5,0,0,0,,08/01/2003,18:15
5,0,0,0,,08/01/2003,19:15
5,0,0,0,,08/01/2003,20:15
5,0,0,0,,08/01/2003,21:15
5,2.7834,6.732,9.5154,2.941324,08/01/2003,22:15
5,21.6945,7.9914,29.6859,2.9391,08/01/2003,23:15
5,0,0,0,,09/01/2003,0:15
5,0,0,0,,09/01/2003,1:15
5,0,0,0,,09/01/2003,2:15
5,0,0,0,,09/01/2003,3:15
5,0,0,0,,09/01/2003,4:15
5,0,0,0,,09/01/2003,5:15
5,0,0,0,,09/01/2003,6:15
5,0,0,0,,09/01/2003,7:15
5,0,0,0,,09/01/2003,8:15
5,0,0,0,,09/01/2003,9:15
5,0,0,0,,09/01/2003,10:15
5,0,0,0,,09/01/2003,11:15
5,0,0,0,,09/01/2003,12:15
5,0,0,0,,09/01/2003,13:15
5,0,0,0,,09/01/2003,14:15
5,0,0,0,,09/01/2003,15:15
5,0,0,0,,09/01/2003,16:15
5,0,0,0,,09/01/2003,17:15
5,0,0,0,,09/01/2003,18:15
5,0,0,0,,09/01/2003,19:15
5,0,0,0,,09/01/2003,20:15
5,0,0,0,,09/01/2003,21:15
5,0,0,0,,09/01/2003,22:15
5,0,0,0,,09/01/2003,23:15
5,0,0,0,,10/01/2003,0:15
5,0,0,0,,10/01/2003,1:15
5,0,0,0,,10/01/2003,2:15
5,0,0,0,,10/01/2003,3:15
5,0,0,0,,10/01/2003,4:15
5,0,0,0,,10/01/2003,5:15
5,0,0,0,,10/01/2003,6:15
5,0,0,0,,10/01/2003,7:15
5,0,0,0,,10/01/2003,8:15
5,0,0,0,,10/01/2003,9:15
5,0,0,0,,10/01/2003,10:15
5,0,0,0,,10/01/2003,11:15
6,0,0,0,,11/01/2003,13:30
6,0,0,0,,11/01/2003,14:30
6,0,0,0,,11/01/2003,15:30
6,0,0,0,,11/01/2003,16:30
6,0,0,0,,11/01/2003,17:30
6,0,0,0,,11/01/2003,18:30
6,0,0,0,,11/01/2003,19:30
6,0,0,0,,11/01/2003,20:30
6,0,0,0,,11/01/2003,21:30
6,0,0,0,,11/01/2003,22:30
6,0,0,0,,11/01/2003,23:30
6,0,0,0,,12/01/2003,0:30
6,0,0,0,,12/01/2003,1:30
6,0,0,0,,12/01/2003,2:30
6,0,0,0,,12/01/2003,3:30
6,0,0,0,,12/01/2003,4:30
6,0,0,0,,12/01/2003,5:30
6,0,0,0,,12/01/2003,6:30
6,0,0,0,,12/01/2003,7:30
6,0,0,0,,12/01/2003,8:30
6,0,0,0,,12/01/2003,9:30
6,0,0,0,,12/01/2003,10:30
6,0,0,0,,12/01/2003,11:30
6,0,0,0,,12/01/2003,12:30
6,0,0,0,,12/01/2003,13:30
6,0,0,0,,12/01/2003,14:30
6,0,0,0,,12/01/2003,15:30
6,0,0,0,,12/01/2003,16:30
6,0,0,0,,12/01/2003,17:30
6,0,0,0,,12/01/2003,18:30
6,0,0,0,,12/01/2003,19:30
6,0,0,0,,12/01/2003,20:30
6,0,0,0,,12/01/2003,21:30
6,0,0,0,,12/01/2003,22:30
6,0,0,0,,12/01/2003,23:30
7,0,0,0,,13/01/2003,15:45
7,0,0,0,,13/01/2003,16:45
7,0,0,0,,13/01/2003,17:45
7,0,0,0,,13/01/2003,18:45
7,0,0,0,,13/01/2003,19:45
7,0,0,0,,13/01/2003,20:45
7,0,0,0,,13/01/2003,21:45
7,0,0,0,,13/01/2003,22:45
7,0,0,0,,13/01/2003,23:45
7,0,0,0,,14/01/2003,0:45
7,0,0,0,,14/01/2003,1:45
7,0,0,0,,14/01/2003,2:45
7,0,0,0,,14/01/2003,3:45
7,0,0,0,,14/01/2003,4:45
7,0,0,0,,14/01/2003,5:45
7,0,0,0,,14/01/2003,6:45
7,0,0,0,,14/01/2003,7:45
7,0,0,0,,14/01/2003,8:45
7,0,0,0,,14/01/2003,9:45
7,0,0,0,,14/01/2003,10:45
7,0,0,0,,14/01/2003,11:45
7,0,0,0,,14/01/2003,12:45
7,0,0,0,,14/01/2003,13:45
7,0,0,0,,14/01/2003,14:45
7,0,0,0,,14/01/2003,15:45
7,0,0,0,,14/01/2003,16:45
7,0,0,0,,14/01/2003,17:45
8,0,0,0,,14/01/2003,18:30
8,0,0,0,,14/01/2003,19:30
8,0,0,0,,14/01/2003,20:30
8,0,0,0,,14/01/2003,21:30
8,0,0,0,,14/01/2003,22:30
8,0,0,0,,14/01/2003,23:30
8,0,0,0,,15/01/2003,0:30
8,0,0,0,,15/01/2003,1:30
8,0,0,0,,15/01/2003,2:30
8,0,0,0,,15/01/2003,3:30
8,0,0,0,,15/01/2003,4:30
8,0,0,0,,15/01/2003,5:30
8,0,0,0,,15/01/2003,6:30
8,0,0,0,,15/01/2003,7:30
8,0,0,0,,15/01/2003,8:30
8,0,0,0,,15/01/2003,9:30
8,0,0,0,,15/01/2003,10:30
8,0,0,0,,15/01/2003,11:30
8,0,0,0,,15/01/2003,12:30
8,0,0,0,,15/01/2003,13:30
8,0,0,0,,15/01/2003,14:30
8,207.95565,123.8763,331.83195,1.499941,15/01/2003,15:30
8,61.20255,1.5996,62.80215,1.912474,15/01/2003,16:30
8,0,0,0,,15/01/2003,17:30
8,0,0,0,,15/01/2003,18:30
8,0,0,0,,15/01/2003,19:30
8,0,0,0,,15/01/2003,20:30
8,0,0,0,,15/01/2003,21:30
8,0,0,0,,15/01/2003,22:30
8,0,0,0,,15/01/2003,23:30
8,0,0,0,,16/01/2003,0:30
8,0,0,0,,16/01/2003,1:30
8,0,0,0,,16/01/2003,2:30
8,0,0,0,,16/01/2003,3:30
8,0,0,0,,16/01/2003,4:30
8,0,0,0,,16/01/2003,5:30
8,0,0,0,,16/01/2003,6:30
8,0,0,0,,16/01/2003,7:30
8,0,0,0,,16/01/2003,8:30
8,0,0,0,,16/01/2003,9:30
8,0,0,0,,16/01/2003,10:30
8,0,0,0,,16/01/2003,11:30
8,0,0,0,,16/01/2003,12:30
8,0,0,0,,16/01/2003,13:30
8,0,0,0,,16/01/2003,14:30
8,0,0,0,,16/01/2003,15:30
8,0,0,0,,16/01/2003,16:30
8,0,0,0,,16/01/2003,17:30
8,0,0,0,,16/01/2003,18:30
9,0,0,0,,17/01/2003,0:45
9,0,0,0,,17/01/2003,1:45
9,0,0,0,,17/01/2003,2:45
9,0,0,0,,17/01/2003,3:45
9,0,1.39695,1.39695,2.386236,17/01/2003,4:45
9,20.5683,9.36735,29.93565,2.912438,17/01/2003,5:45
9,0,0,0,,17/01/2003,6:45
9,0,0,0,,17/01/2003,7:45
9,0,0,0,,17/01/2003,8:45
9,0,0,0,,17/01/2003,9:45
9,0,0,0,,17/01/2003,10:45
9,0,0,0,,17/01/2003,11:45
9,0,0,0,,17/01/2003,12:45
9,0,0,0,,17/01/2003,13:45
9,0,0,0,,17/01/2003,14:45
9,0,0,0,,17/01/2003,15:45
9,0,0,0,,17/01/2003,16:45
9,0,0,0,,17/01/2003,17:45
9,0,0,0,,17/01/2003,18:45
9,0,0,0,,17/01/2003,19:45
9,0,0,0,,17/01/2003,20:45
9,0,0,0,,17/01/2003,21:45
9,0,0,0,,17/01/2003,22:45
9,0,0,0,,17/01/2003,23:45
9,0,0,0,,18/01/2003,0:45
9,0,0,0,,18/01/2003,1:45
9,0,0,0,,18/01/2003,2:45
9,0,0,0,,18/01/2003,3:45
9,0,0,0,,18/01/2003,4:45
9,0,0,0,,18/01/2003,5:45
9,0,0,0,,18/01/2003,6:45
9,0,0,0,,18/01/2003,7:45
9,0,0,0,,18/01/2003,8:45
9,0,0,0,,18/01/2003,9:45
9,0,0,0,,18/01/2003,10:45
9,0,0,0,,18/01/2003,11:45
9,0,0,0,,18/01/2003,12:45
10,0,0,0,,18/01/2003,13:30
10,0,0,0,,18/01/2003,14:30
10,0,0,0,,18/01/2003,15:30
10,0,0,0,,18/01/2003,16:30
10,0,0,0,,18/01/2003,17:30
10,0,0,0,,18/01/2003,18:30
10,0,0,0,,18/01/2003,19:30
10,0,0,0,,18/01/2003,20:30
10,0,0,0,,18/01/2003,21:30
10,0,0,0,,18/01/2003,22:30
10,0,0,0,,18/01/2003,23:30
10,0,0,0,,19/01/2003,0:30
10,0,0,0,,19/01/2003,1:30
10,0,0,0,,19/01/2003,2:30
10,0,0,0,,19/01/2003,3:30
10,0,0,0,,19/01/2003,4:30
10,0,0,0,,19/01/2003,5:30
10,0,0,0,,19/01/2003,6:30
10,0,0,0,,19/01/2003,7:30
10,0,0,0,,19/01/2003,8:30
10,0,0,0,,19/01/2003,9:30
10,0,0,0,,19/01/2003,10:30
10,0,0,0,,19/01/2003,11:30
10,0,0,0,,19/01/2003,12:30
10,0,0,0,,19/01/2003,13:30
10,0,0,0,,19/01/2003,14:30
10,0,0,0,,19/01/2003,15:30
11,0,0,0,,20/01/2003,6:15
11,0,0,0,,20/01/2003,7:15
11,0,0,0,,20/01/2003,8:15
11,0,0,0,,20/01/2003,9:15
11,0,0,0,,20/01/2003,10:15
11,0,0,0,,20/01/2003,11:15
11,0,0,0,,20/01/2003,12:15
11,0,0,0,,20/01/2003,13:15
11,0,0,0,,20/01/2003,14:15
11,0,0,0,,20/01/2003,15:15
11,0,0,0,,20/01/2003,16:15
11,0,0,0,,20/01/2003,17:15
11,0,0,0,,20/01/2003,18:15
11,0,0,0,,20/01/2003,19:15
11,0,0,0,,20/01/2003,20:15
11,0,0,0,,20/01/2003,21:15
11,0,0,0,,20/01/2003,22:15
11,0,0,0,,20/01/2003,23:15
11,0,0,0,,21/01/2003,0:15
11,0,0,0,,21/01/2003,1:15
11,0,0,0,,21/01/2003,2:15
11,0,0,0,,21/01/2003,3:15
12,0,0,0,,21/01/2003,4:45
12,0,0,0,,21/01/2003,5:45
12,0,0,0,,21/01/2003,6:45
12,0,0,0,,21/01/2003,7:45
12,0,0,0,,21/01/2003,8:45
12,0,0,0,,21/01/2003,9:45
12,0,0,0,,21/01/2003,10:45
12,0,0,0,,21/01/2003,11:45
12,0,0,0,,21/01/2003,12:45
12,0,0,0,,21/01/2003,13:45
12,0,0,0,,21/01/2003,14:45
12,0,0,0,,21/01/2003,15:45
12,0,0,0,,21/01/2003,16:45
12,0,0,0,,21/01/2003,17:45
12,0,0,0,,21/01/2003,18:45
12,0,0,0,,21/01/2003,19:45
12,0,0,0,,21/01/2003,20:45
12,0,0,0,,21/01/2003,21:45
12,0,0,0,,21/01/2003,22:45
12,0,0,0,,21/01/2003,23:45
12,0,0,0,,22/01/2003,0:45
12,0,0,0,,22/01/2003,1:45
12,0,0,0,,22/01/2003,2:45
12,0,0,0,,22/01/2003,3:45
12,0,0,0,,22/01/2003,4:45
12,0,0,0,,22/01/2003,5:45
12,0,0,0,,22/01/2003,6:45
12,0,0,0,,22/01/2003,7:45
12,0,0,0,,22/01/2003,8:45
12,42.8232,43.0902,85.9134,1.440232,22/01/2003,9:45
12,170.38275,147.60315,317.9859,1.581158,22/01/2003,10:45
12,185.65065,137.07705,322.7277,1.847474,22/01/2003,11:45
12,66.9897,49.53435,116.52405,2.1195,22/01/2003,12:45
12,0,14.66805,14.66805,2.354526,22/01/2003,13:45
12,0,0,0,,22/01/2003,14:45
12,0,0,0,,22/01/2003,15:45
12,0,0,0,,22/01/2003,16:45
12,0,0,0,,22/01/2003,17:45
12,0,0,0,,22/01/2003,18:45
12,0,0,0,,22/01/2003,19:45
12,0,0,0,,22/01/2003,20:45
12,0,0,0,,22/01/2003,21:45
12,0,0,0,,22/01/2003,22:45
12,0,0,0,,22/01/2003,23:45
12,0,0,0,,23/01/2003,0:45
12,0,0,0,,23/01/2003,1:45
12,0,0,0,,23/01/2003,2:45
12,0,0,0,,23/01/2003,3:45
12,0,0,0,,23/01/2003,4:45
12,0,0,0,,23/01/2003,5:45
12,0,0,0,,23/01/2003,6:45
12,0,0,0,,23/01/2003,7:45
12,0,0,0,,23/01/2003,8:45
13,0,0,0,,24/01/2003,10:00
13,0,0,0,,24/01/2003,11:00
13,0,0,0,,24/01/2003,12:00
13,0,0,0,,24/01/2003,13:00
13,0,0,0,,24/01/2003,14:00
13,0,0,0,,24/01/2003,15:00
13,0,0,0,,24/01/2003,16:00
13,0,0,0,,24/01/2003,17:00
13,0,0,0,,24/01/2003,18:00
13,0,0,0,,24/01/2003,19:00
13,0,0,0,,24/01/2003,20:00
13,0,0,0,,24/01/2003,21:00
14,0,0,0,,24/01/2003,21:15
14,0,0,0,,24/01/2003,22:15
14,0,0,0,,24/01/2003,23:15
14,0,0,0,,25/01/2003,0:15
14,0,0,0,,25/01/2003,1:15
14,0,0,0,,25/01/2003,2:15
14,0,0,0,,25/01/2003,3:15
14,0,0,0,,25/01/2003,4:15
14,0,0,0,,25/01/2003,5:15
14,0,0,0,,25/01/2003,6:15
14,0,0,0,,25/01/2003,7:15
14,0,0,0,,25/01/2003,8:15
14,0,0,0,,25/01/2003,9:15
14,0,0,0,,25/01/2003,10:15
14,0,0,0,,25/01/2003,11:15
14,0,0,0,,25/01/2003,12:15
14,0,0,0,,25/01/2003,13:15
14,0,0,0,,25/01/2003,14:15
14,0,0,0,,25/01/2003,15:15
14,0,0,0,,25/01/2003,16:15
14,0,0,0,,25/01/2003,17:15
14,0,0,0,,25/01/2003,18:15
14,0,0,0,,25/01/2003,19:15
14,0,0,0,,25/01/2003,20:15
14,0,0,0,,25/01/2003,21:15
14,0,0,0,,25/01/2003,22:15
14,0,0,0,,25/01/2003,23:15
14,0,0,0,,26/01/2003,0:15
14,0,0,0,,26/01/2003,1:15
14,0,0,0,,26/01/2003,2:15
14,0,0,0,,26/01/2003,3:15
14,0,0,0,,26/01/2003,4:15
14,0,0,0,,26/01/2003,5:15
14,0,0,0,,26/01/2003,6:15
14,0,0,0,,26/01/2003,7:15
14,0,0,0,,26/01/2003,8:15
14,0,0,0,,26/01/2003,9:15
14,0,0,0,,26/01/2003,10:15
14,0,0,0,,26/01/2003,11:15
14,0,0,0,,26/01/2003,12:15
14,0,0,0,,26/01/2003,13:15
14,0,0,0,,26/01/2003,14:15
14,0,0,0,,26/01/2003,15:15
14,0,0,0,,26/01/2003,16:15
14,0,0,0,,26/01/2003,17:15
14,0,0,0,,26/01/2003,18:15
14,0,0,0,,26/01/2003,19:15
14,0,0,0,,26/01/2003,20:15
14,0,0,0,,26/01/2003,21:15
14,0,0,0,,26/01/2003,22:15
14,0,0,0,,26/01/2003,23:15
15,0,0,0,,27/01/2003,6:00
15,0,0,0,,27/01/2003,7:00
15,0,0,0,,27/01/2003,8:00
15,0,0,0,,27/01/2003,9:00
15,0,0,0,,27/01/2003,10:00
15,0,0,0,,27/01/2003,11:00
15,0,0,0,,27/01/2003,12:00
15,0,0,0,,27/01/2003,13:00
15,0,0,0,,27/01/2003,14:00
15,0,0,0,,27/01/2003,15:00
15,0,0,0,,27/01/2003,16:00
15,0,0,0,,27/01/2003,17:00
15,0,0,0,,27/01/2003,18:00
15,0,0,0,,27/01/2003,19:00
15,0,0,0,,27/01/2003,20:00
15,0,0,0,,27/01/2003,21:00
15,0,0,0,,27/01/2003,22:00
15,0,0,0,,27/01/2003,23:00
15,0,0,0,,28/01/2003,0:00
15,0,0,0,,28/01/2003,1:00
15,0,0,0,,28/01/2003,2:00
15,0,0,0,,28/01/2003,3:00
15,0,0,0,,28/01/2003,4:00
15,0,0,0,,28/01/2003,5:00
15,0,0,0,,28/01/2003,6:00
15,0,0,0,,28/01/2003,7:00
15,0,0,0,,28/01/2003,8:00
15,0,0,0,,28/01/2003,9:00
15,0,0,0,,28/01/2003,10:00
15,0,0,0,,28/01/2003,11:00
15,0,0,0,,28/01/2003,12:00
15,0,0,0,,28/01/2003,13:00
15,0,0,0,,28/01/2003,14:00
15,0,0,0,,28/01/2003,15:00
15,0,0,0,,28/01/2003,16:00
16,0,0,0,,31/01/2003,14:45
16,0,0,0,,31/01/2003,15:45
16,0,0,0,,31/01/2003,16:45
16,0,0,0,,31/01/2003,17:45
16,0,0,0,,31/01/2003,18:45
16,0,0,0,,31/01/2003,19:45
16,0,0,0,,31/01/2003,20:45
16,0,0,0,,31/01/2003,21:45
16,0,0,0,,31/01/2003,22:45
16,0,0,0,,31/01/2003,23:45
16,0,0,0,,01/02/2003,0:45
16,0,0,0,,01/02/2003,1:45
16,0,0,0,,01/02/2003,2:45
16,0,0,0,,01/02/2003,3:45
16,0,0,0,,01/02/2003,4:45
17,0,0,0,,01/02/2003,5:45
17,0,0,0,,01/02/2003,6:45
17,0,0,0,,01/02/2003,7:45
17,0,0,0,,01/02/2003,8:45
17,0,0,0,,01/02/2003,9:45
17,0,0,0,,01/02/2003,10:45
17,0,0,0,,01/02/2003,11:45
17,0,0,0,,01/02/2003,12:45
17,0,0,0,,01/02/2003,13:45
17,0,0,0,,01/02/2003,14:45
17,0,0,0,,01/02/2003,15:45
18,0,0,0,,01/02/2003,16:15
18,0,0,0,,01/02/2003,17:15
18,0,0,0,,01/02/2003,18:15
18,0,0,0,,01/02/2003,19:15
18,0,0,0,,01/02/2003,20:15
18,0,0,0,,01/02/2003,21:15
18,0,0.5676,0.5676,1.103128,01/02/2003,22:15
18,0,0,0,,01/02/2003,23:15
18,0,0,0,,02/02/2003,0:15
18,0,0,0,,02/02/2003,1:15
18,0,0,0,,02/02/2003,2:15
18,0,0,0,,02/02/2003,3:15
18,0,0,0,,02/02/2003,4:15
18,0,0,0,,02/02/2003,5:15
18,0,0,0,,02/02/2003,6:15
18,0,0,0,,02/02/2003,7:15
18,0,0,0,,02/02/2003,8:15
18,0,0,0,,02/02/2003,9:15
18,0,0,0,,02/02/2003,10:15
18,0,0,0,,02/02/2003,11:15
18,0,0,0,,02/02/2003,12:15
18,0,0,0,,02/02/2003,13:15
18,0,0,0,,02/02/2003,14:15
18,0,0,0,,02/02/2003,15:15
18,0,0,0,,02/02/2003,16:15
18,0,0,0,,02/02/2003,17:15
18,0,0,0,,02/02/2003,18:15
18,0,0,0,,02/02/2003,19:15
18,0,0,0,,02/02/2003,20:15
18,0,0,0,,02/02/2003,21:15
18,0,0,0,,02/02/2003,22:15
18,0,0,0,,02/02/2003,23:15
18,0,0,0,,03/02/2003,0:15
18,0,0,0,,03/02/2003,1:15
18,0,0,0,,03/02/2003,2:15
18,0,0,0,,03/02/2003,3:15
18,0,0,0,,03/02/2003,4:15
18,0,0,0,,03/02/2003,5:15
19,0,0,0,,03/02/2003,11:45
19,0,0,0,,03/02/2003,12:45
19,0,0,0,,03/02/2003,13:45
19,0,0,0,,03/02/2003,14:45
19,0,0,0,,03/02/2003,15:45
19,0,0,0,,03/02/2003,16:45
19,0,0,0,,03/02/2003,17:45
19,0,0,0,,03/02/2003,18:45
19,0,0,0,,03/02/2003,19:45
19,0,0,0,,03/02/2003,20:45
19,0,0,0,,03/02/2003,21:45
19,0,0,0,,03/02/2003,22:45
19,0,0,0,,03/02/2003,23:45
19,0,0,0,,04/02/2003,0:45
19,0,0,0,,04/02/2003,1:45
19,0,0,0,,04/02/2003,2:45
20,0,0,0,,04/02/2003,7:45
20,0,0,0,,04/02/2003,8:45
20,0,0,0,,04/02/2003,9:45
20,0,0,0,,04/02/2003,10:45
20,0,0,0,,04/02/2003,11:45
20,0,0,0,,04/02/2003,12:45
20,0,0,0,,04/02/2003,13:45
20,0,0,0,,04/02/2003,14:45
20,0,0,0,,04/02/2003,15:45
20,0,0,0,,04/02/2003,16:45
20,0,0,0,,04/02/2003,17:45
20,0,0,0,,04/02/2003,18:45
20,0,0,0,,04/02/2003,19:45
20,0,0,0,,04/02/2003,20:45
20,0,0,0,,04/02/2003,21:45
20,0,0,0,,04/02/2003,22:45
20,0,0,0,,04/02/2003,23:45
20,0,0,0,,05/02/2003,0:45
20,0,0,0,,05/02/2003,1:45
20,0,0,0,,05/02/2003,2:45
21,0,0,0,,05/02/2003,13:15
21,0,0,0,,05/02/2003,14:15
21,0,0,0,,05/02/2003,15:15
21,0,0,0,,05/02/2003,16:15
21,0,0,0,,05/02/2003,17:15
21,0,0,0,,05/02/2003,18:15
21,0,0,0,,05/02/2003,19:15
21,0,0,0,,05/02/2003,20:15
21,0,0,0,,05/02/2003,21:15
21,0,0,0,,05/02/2003,22:15
21,0,0,0,,05/02/2003,23:15
21,0,0,0,,06/02/2003,0:15
21,0,0,0,,06/02/2003,1:15
21,0,0,0,,06/02/2003,2:15
22,0,0,0,,06/02/2003,5:30
22,0,0,0,,06/02/2003,6:30
22,0,0,0,,06/02/2003,7:30
22,0,0,0,,06/02/2003,8:30
22,0,0,0,,06/02/2003,9:30
22,0,0,0,,06/02/2003,10:30
22,0,0,0,,06/02/2003,11:30
22,0,0,0,,06/02/2003,12:30
22,0,0,0,,06/02/2003,13:30
22,0,0,0,,06/02/2003,14:30
22,0,0,0,,06/02/2003,15:30
22,0,0,0,,06/02/2003,16:30
22,0,0,0,,06/02/2003,17:30
22,0,0,0,,06/02/2003,18:30
22,0,0,0,,06/02/2003,19:30
22,0,0,0,,06/02/2003,20:30
22,0,0,0,,06/02/2003,21:30
23,0,0,0,,07/02/2003,2:15
23,0,0,0,,07/02/2003,3:15
23,0,0,0,,07/02/2003,4:15
23,0,0,0,,07/02/2003,5:15
23,0,0,0,,07/02/2003,6:15
23,0,0,0,,07/02/2003,7:15
23,0,0,0,,07/02/2003,8:15
23,0,0,0,,07/02/2003,9:15
23,0,0,0,,07/02/2003,10:15
23,0,0,0,,07/02/2003,11:15
23,0,0,0,,07/02/2003,12:15
23,0,0,0,,07/02/2003,13:15
23,0,0,0,,07/02/2003,14:15
24,0,0,0,,09/02/2003,1:30
24,0,0,0,,09/02/2003,2:30
24,0,0,0,,09/02/2003,3:30
24,0,0,0,,09/02/2003,4:30
24,0,0,0,,09/02/2003,5:30
24,0,0,0,,09/02/2003,6:30
24,0,0,0,,09/02/2003,7:30
24,0,0,0,,09/02/2003,8:30
24,0,0,0,,09/02/2003,9:30
24,0,0,0,,09/02/2003,10:30
24,0,0,0,,09/02/2003,11:30
24,0,0,0,,09/02/2003,12:30
24,0,0,0,,09/02/2003,13:30
24,0,0,0,,09/02/2003,14:30
24,0,0,0,,09/02/2003,15:30
24,0,0,0,,09/02/2003,16:30
24,0,0,0,,09/02/2003,17:30
24,0,0,0,,09/02/2003,18:30
24,0,0,0,,09/02/2003,19:30
25,0,0,0,,10/02/2003,7:30
25,0,0,0,,10/02/2003,8:30
25,0,0,0,,10/02/2003,9:30
25,0,0,0,,10/02/2003,10:30
25,0,0,0,,10/02/2003,11:30
25,0,0,0,,10/02/2003,12:30
25,0,0,0,,10/02/2003,13:30
25,0,0,0,,10/02/2003,14:30
25,0,0,0,,10/02/2003,15:30
25,0,0,0,,10/02/2003,16:30
25,0,0,0,,10/02/2003,17:30
25,0,0,0,,10/02/2003,18:30
25,0,0,0,,10/02/2003,19:30
25,0,0,0,,10/02/2003,20:30
25,0,0,0,,10/02/2003,21:30
25,0,0,0,,10/02/2003,22:30
25,0,0,0,,10/02/2003,23:30
25,0,0,0,,11/02/2003,0:30
25,0,0,0,,11/02/2003,1:30
25,0,0,0,,11/02/2003,2:30
25,0,0,0,,11/02/2003,3:30
25,0,0,0,,11/02/2003,4:30
25,0,0,0,,11/02/2003,5:30
25,0,0,0,,11/02/2003,6:30
26,0,0,0,,11/02/2003,9:30
26,0,0,0,,11/02/2003,10:30
26,0,0,0,,11/02/2003,11:30
26,0,0,0,,11/02/2003,12:30
